,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-02-01,Spain,1.0,1.0,,0.0,1.0,235,,,1.0,
1,2020-02-02,Spain,1.0,0.0,,1.0,1.0,235,0.0,,1.0,
2,2020-02-03,Spain,1.0,0.0,,1.0,1.0,235,0.0,,1.0,
3,2020-02-04,Spain,1.0,0.0,,1.0,1.0,235,0.0,,1.0,
4,2020-02-05,Spain,1.0,0.0,,1.0,1.0,235,0.0,,1.0,
5,2020-02-06,Spain,1.0,0.0,,1.0,1.0,235,0.0,,1.0,
6,2020-02-07,Spain,1.0,0.0,0.0,1.0,1.0,235,0.0,,1.0,1.0
7,2020-02-08,Spain,1.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
8,2020-02-09,Spain,2.0,1.0,0.0,2.0,1.143,235,0.0,0.0,1.0,1.0
9,2020-02-10,Spain,2.0,0.0,0.0,1.0,1.143,235,0.0,0.0,1.0,1.0
10,2020-02-11,Spain,2.0,0.0,0.0,1.0,1.143,235,0.0,0.0,1.0,1.0
11,2020-02-12,Spain,2.0,0.0,0.0,1.0,1.143,235,0.0,0.0,1.0,1.0
12,2020-02-13,Spain,2.0,0.0,0.0,1.0,1.143,235,0.0,0.0,1.0,1.0
13,2020-02-14,Spain,2.0,0.0,0.0,1.0,1.143,235,0.0,0.0,1.0,1.0
14,2020-02-15,Spain,2.0,0.0,0.0,1.0,1.143,235,0.0,0.0,1.0,1.0
15,2020-02-16,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
16,2020-02-17,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
17,2020-02-18,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
18,2020-02-19,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
19,2020-02-20,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
20,2020-02-21,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
21,2020-02-22,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
22,2020-02-23,Spain,2.0,0.0,0.0,1.0,1.0,235,0.0,0.0,1.0,1.0
23,2020-02-24,Spain,4.0,2.0,0.0,2.0,1.143,235,0.0,0.0,1.0,1.0
24,2020-02-25,Spain,6.0,2.0,1.0,1.5,1.214,235,0.0,1.0,1.0,1.0
25,2020-02-26,Spain,13.0,7.0,2.0,2.167,1.381,235,0.0,2.0,1.0,1.0
26,2020-02-27,Spain,15.0,2.0,2.0,1.1540000000000001,1.403,235,0.0,2.0,1.0,1.0
27,2020-02-28,Spain,32.0,17.0,4.0,2.133,1.565,235,0.0,4.0,1.0,1.0
28,2020-02-29,Spain,45.0,13.0,6.0,1.406,1.6230000000000002,235,0.0,6.0,1.0,1.0
29,2020-03-01,Spain,84.0,39.0,12.0,1.867,1.7469999999999999,236,1.0,12.0,1.004,1.001
30,2020-03-02,Spain,120.0,36.0,17.0,1.429,1.665,238,2.0,17.0,1.008,1.002
31,2020-03-03,Spain,165.0,45.0,23.0,1.375,1.6469999999999998,243,5.0,23.0,1.021,1.005
32,2020-03-04,Spain,222.0,57.0,30.0,1.345,1.53,252,9.0,30.0,1.037,1.01
33,2020-03-05,Spain,259.0,37.0,35.0,1.167,1.5319999999999998,269,17.0,35.0,1.067,1.02
34,2020-03-06,Spain,400.0,141.0,53.0,1.544,1.4480000000000002,300,31.0,53.0,1.115,1.036
35,2020-03-07,Spain,500.0,100.0,65.0,1.25,1.425,355,55.0,65.0,1.183,1.062
36,2020-03-08,Spain,673.0,173.0,84.0,1.3459999999999999,1.351,448,93.0,84.0,1.262,1.099
37,2020-03-09,Spain,1073.0,400.0,136.0,1.594,1.374,599,151.0,136.0,1.337,1.146
38,2020-03-10,Spain,1695.0,622.0,219.0,1.58,1.4040000000000001,834,235.0,219.0,1.392,1.199
39,2020-03-11,Spain,2277.0,582.0,294.0,1.3430000000000002,1.403,1190,356.0,294.0,1.427,1.255
40,2020-03-12,Spain,3754.0,1477.0,499.0,1.649,1.472,1711,521.0,499.0,1.438,1.308
41,2020-03-13,Spain,5232.0,1478.0,690.0,1.3940000000000001,1.4509999999999998,2447,736.0,690.0,1.43,1.353
42,2020-03-14,Spain,6391.0,1159.0,842.0,1.222,1.4469999999999998,3457,1010.0,842.0,1.413,1.386
43,2020-03-15,Spain,7798.0,1407.0,1018.0,1.22,1.429,4802,1345.0,1018.0,1.389,1.404
44,2020-03-16,Spain,9942.0,2144.0,1267.0,1.275,1.383,6544,1742.0,1267.0,1.363,1.407
45,2020-03-17,Spain,11748.0,1806.0,1436.0,1.182,1.3259999999999998,8745,2201.0,1436.0,1.336,1.399
46,2020-03-18,Spain,13910.0,2162.0,1662.0,1.1840000000000002,1.304,11456,2711.0,1662.0,1.31,1.383
47,2020-03-19,Spain,17963.0,4053.0,2030.0,1.291,1.253,14719,3263.0,2030.0,1.285,1.361
48,2020-03-20,Spain,20410.0,2447.0,2168.0,1.136,1.216,18564,3845.0,2168.0,1.261,1.337
49,2020-03-21,Spain,25374.0,4964.0,2712.0,1.2429999999999999,1.219,23003,4439.0,2712.0,1.239,1.312
50,2020-03-22,Spain,28768.0,3394.0,2996.0,1.1340000000000001,1.206,28034,5031.0,2996.0,1.219,1.288
51,2020-03-23,Spain,35136.0,6368.0,3599.0,1.2209999999999999,1.199,33636,5602.0,3599.0,1.2,1.264
52,2020-03-24,Spain,39885.0,4749.0,4020.0,1.135,1.192,39773,6137.0,4020.0,1.182,1.242
53,2020-03-25,Spain,49515.0,9630.0,5086.0,1.2409999999999999,1.2,46395,6622.0,5086.0,1.166,1.222
54,2020-03-26,Spain,57786.0,8271.0,5689.0,1.167,1.182,53442,7047.0,5689.0,1.152,1.203
55,2020-03-27,Spain,65719.0,7933.0,6473.0,1.137,1.183,60846,7404.0,6473.0,1.139,1.185
56,2020-03-28,Spain,73235.0,7516.0,6837.0,1.114,1.1640000000000001,68531,7685.0,6837.0,1.126,1.169
57,2020-03-29,Spain,80110.0,6875.0,7335.0,1.094,1.158,76421,7890.0,7335.0,1.115,1.154
58,2020-03-30,Spain,87956.0,7846.0,7546.0,1.0979999999999999,1.141,84439,8018.0,7546.0,1.105,1.141
