,date,country,confirmed,new_confirmed,new_conf_avg_7,growth,growth_avg_7,predict,new_predict,new_pred_avg_7,p_growth,p_gr_avg_7
0,2020-01-31,United Kingdom,2.0,2.0,,0.0,1.0,85,,,1.0,
1,2020-02-01,United Kingdom,2.0,0.0,,1.0,1.0,85,0.0,,1.0,
2,2020-02-02,United Kingdom,2.0,0.0,,1.0,1.0,85,0.0,,1.0,
3,2020-02-03,United Kingdom,2.0,0.0,,1.0,1.0,85,0.0,,1.0,
4,2020-02-04,United Kingdom,2.0,0.0,,1.0,1.0,85,0.0,,1.0,
5,2020-02-05,United Kingdom,2.0,0.0,,1.0,1.0,85,0.0,,1.0,
6,2020-02-06,United Kingdom,2.0,0.0,0.0,1.0,1.0,85,0.0,,1.0,1.0
7,2020-02-07,United Kingdom,3.0,1.0,0.0,1.5,1.071,85,0.0,0.0,1.0,1.0
8,2020-02-08,United Kingdom,3.0,0.0,0.0,1.0,1.071,85,0.0,0.0,1.0,1.0
9,2020-02-09,United Kingdom,5.0,2.0,0.0,1.6669999999999998,1.167,85,0.0,0.0,1.0,1.0
10,2020-02-10,United Kingdom,8.0,3.0,1.0,1.6,1.252,85,0.0,1.0,1.0,1.0
11,2020-02-11,United Kingdom,8.0,0.0,1.0,1.0,1.252,85,0.0,1.0,1.0,1.0
12,2020-02-12,United Kingdom,9.0,1.0,1.0,1.125,1.27,85,0.0,1.0,1.0,1.0
13,2020-02-13,United Kingdom,9.0,0.0,1.0,1.0,1.27,85,0.0,1.0,1.0,1.0
14,2020-02-14,United Kingdom,9.0,0.0,1.0,1.0,1.199,85,0.0,1.0,1.0,1.0
15,2020-02-15,United Kingdom,9.0,0.0,1.0,1.0,1.199,85,0.0,1.0,1.0,1.0
16,2020-02-16,United Kingdom,9.0,0.0,1.0,1.0,1.104,85,0.0,1.0,1.0,1.0
17,2020-02-17,United Kingdom,9.0,0.0,0.0,1.0,1.018,85,0.0,0.0,1.0,1.0
18,2020-02-18,United Kingdom,9.0,0.0,0.0,1.0,1.018,85,0.0,0.0,1.0,1.0
19,2020-02-19,United Kingdom,9.0,0.0,0.0,1.0,1.0,85,0.0,0.0,1.0,1.0
20,2020-02-20,United Kingdom,9.0,0.0,0.0,1.0,1.0,85,0.0,0.0,1.0,1.0
21,2020-02-21,United Kingdom,9.0,0.0,0.0,1.0,1.0,85,0.0,0.0,1.0,1.0
22,2020-02-22,United Kingdom,9.0,0.0,0.0,1.0,1.0,85,0.0,0.0,1.0,1.0
23,2020-02-23,United Kingdom,11.0,2.0,0.0,1.222,1.032,85,0.0,0.0,1.0,1.0
24,2020-02-24,United Kingdom,13.0,2.0,1.0,1.182,1.058,85,0.0,1.0,1.0,1.0
25,2020-02-25,United Kingdom,13.0,0.0,1.0,1.0,1.058,85,0.0,1.0,1.0,1.0
26,2020-02-26,United Kingdom,14.0,1.0,1.0,1.077,1.069,85,0.0,1.0,1.0,1.0
27,2020-02-27,United Kingdom,15.0,1.0,1.0,1.071,1.079,85,0.0,1.0,1.0,1.0
28,2020-02-28,United Kingdom,20.0,5.0,2.0,1.3330000000000002,1.126,85,0.0,2.0,1.0,1.0
29,2020-02-29,United Kingdom,23.0,3.0,2.0,1.15,1.148,85,0.0,2.0,1.0,1.0
30,2020-03-01,United Kingdom,36.0,13.0,4.0,1.565,1.197,85,0.0,4.0,1.0,1.0
31,2020-03-02,United Kingdom,40.0,4.0,4.0,1.111,1.187,86,1.0,4.0,1.012,1.002
32,2020-03-03,United Kingdom,51.0,11.0,5.0,1.275,1.226,87,1.0,5.0,1.012,1.003
33,2020-03-04,United Kingdom,85.0,34.0,10.0,1.6669999999999998,1.31,89,2.0,10.0,1.023,1.007
34,2020-03-05,United Kingdom,115.0,30.0,14.0,1.3530000000000002,1.351,92,3.0,14.0,1.034,1.012
35,2020-03-06,United Kingdom,163.0,48.0,20.0,1.4169999999999998,1.3630000000000002,96,4.0,20.0,1.043,1.018
36,2020-03-07,United Kingdom,206.0,43.0,26.0,1.264,1.379,103,7.0,26.0,1.073,1.028
37,2020-03-08,United Kingdom,273.0,67.0,34.0,1.325,1.345,113,10.0,34.0,1.097,1.042
38,2020-03-09,United Kingdom,321.0,48.0,40.0,1.176,1.354,129,16.0,40.0,1.142,1.061
39,2020-03-10,United Kingdom,382.0,61.0,47.0,1.19,1.3419999999999999,152,23.0,47.0,1.178,1.084
40,2020-03-11,United Kingdom,456.0,74.0,53.0,1.194,1.274,185,33.0,53.0,1.217,1.112
41,2020-03-12,United Kingdom,627.0,171.0,73.0,1.375,1.2770000000000001,232,47.0,73.0,1.254,1.143
42,2020-03-13,United Kingdom,798.0,171.0,91.0,1.273,1.2570000000000001,299,67.0,91.0,1.289,1.179
43,2020-03-14,United Kingdom,1140.0,342.0,133.0,1.429,1.28,390,91.0,133.0,1.304,1.212
44,2020-03-15,United Kingdom,1341.0,201.0,153.0,1.176,1.2590000000000001,514,124.0,153.0,1.318,1.243
45,2020-03-16,United Kingdom,1543.0,202.0,175.0,1.151,1.255,680,166.0,175.0,1.323,1.269
46,2020-03-17,United Kingdom,1950.0,407.0,224.0,1.264,1.266,899,219.0,224.0,1.322,1.29
47,2020-03-18,United Kingdom,2626.0,676.0,310.0,1.347,1.288,1182,283.0,310.0,1.315,1.304
48,2020-03-19,United Kingdom,3304.0,678.0,382.0,1.258,1.271,1545,363.0,382.0,1.307,1.311
49,2020-03-20,United Kingdom,3983.0,679.0,455.0,1.206,1.262,2002,457.0,455.0,1.296,1.312
50,2020-03-21,United Kingdom,5018.0,1035.0,554.0,1.26,1.237,2573,571.0,554.0,1.285,1.309
51,2020-03-22,United Kingdom,5683.0,665.0,620.0,1.133,1.2309999999999999,3274,701.0,620.0,1.272,1.303
52,2020-03-23,United Kingdom,6650.0,967.0,730.0,1.17,1.234,4126,852.0,730.0,1.26,1.294
53,2020-03-24,United Kingdom,8077.0,1427.0,875.0,1.215,1.227,5149,1023.0,875.0,1.248,1.283
54,2020-03-25,United Kingdom,9529.0,1452.0,986.0,1.18,1.203,6363,1214.0,986.0,1.236,1.272
55,2020-03-26,United Kingdom,11658.0,2129.0,1193.0,1.2229999999999999,1.198,7787,1424.0,1193.0,1.224,1.26
56,2020-03-27,United Kingdom,14543.0,2885.0,1509.0,1.247,1.204,9442,1655.0,1509.0,1.213,1.248
57,2020-03-28,United Kingdom,17089.0,2546.0,1724.0,1.175,1.192,11343,1901.0,1724.0,1.201,1.236
58,2020-03-29,United Kingdom,19522.0,2433.0,1977.0,1.1420000000000001,1.193,13506,2163.0,1977.0,1.191,1.225
59,2020-03-30,United Kingdom,22141.0,2619.0,2213.0,1.1340000000000001,1.188,15946,2440.0,2213.0,1.181,1.213
60,2020-03-31,United Kingdom,25150.0,3009.0,2439.0,1.136,1.177,18671,2725.0,2439.0,1.171,1.202
61,2020-04-01,United Kingdom,29474.0,4324.0,2849.0,1.172,1.176,21691,3020.0,2849.0,1.162,1.192
62,2020-04-02,United Kingdom,33718.0,4244.0,3151.0,1.1440000000000001,1.1640000000000001,25007,3316.0,3151.0,1.153,1.182
63,2020-04-03,United Kingdom,38168.0,4450.0,3375.0,1.1320000000000001,1.148,28622,3615.0,3375.0,1.145,1.172
64,2020-04-04,United Kingdom,41903.0,3735.0,3545.0,1.0979999999999999,1.137,32532,3910.0,3545.0,1.137,1.163
65,2020-04-05,United Kingdom,47806.0,5903.0,4041.0,1.141,1.137,36731,4199.0,4041.0,1.129,1.154
66,2020-04-06,United Kingdom,51608.0,3802.0,4210.0,1.08,1.129,41209,4478.0,4210.0,1.122,1.146
67,2020-04-07,United Kingdom,55242.0,3634.0,4299.0,1.07,1.12,45954,4745.0,4299.0,1.115,1.138
68,2020-04-08,United Kingdom,60733.0,5491.0,4466.0,1.099,1.109,50950,4996.0,4466.0,1.109,1.13
69,2020-04-09,United Kingdom,65077.0,4344.0,4480.0,1.072,1.099,56180,5230.0,4480.0,1.103,1.123
70,2020-04-10,United Kingdom,73758.0,8681.0,5084.0,1.133,1.099,61624,5444.0,5084.0,1.097,1.116
71,2020-04-11,United Kingdom,78991.0,5233.0,5298.0,1.071,1.095,67259,5635.0,5298.0,1.091,1.109
72,2020-04-12,United Kingdom,84279.0,5288.0,5210.0,1.067,1.085,73064,5805.0,5210.0,1.086,1.103
73,2020-04-13,United Kingdom,88621.0,4342.0,5288.0,1.052,1.081,79013,5949.0,5288.0,1.081,1.097
74,2020-04-14,United Kingdom,93873.0,5252.0,5519.0,1.0590000000000002,1.079,85083,6070.0,5519.0,1.077,1.092
75,2020-04-15,United Kingdom,98476.0,4603.0,5392.0,1.0490000000000002,1.072,91248,6165.0,5392.0,1.072,1.087
76,2020-04-16,United Kingdom,103093.0,4617.0,5431.0,1.047,1.068,97486,6238.0,5431.0,1.068,1.082
77,2020-04-17,United Kingdom,108692.0,5599.0,4991.0,1.054,1.057,103770,6284.0,4991.0,1.064,1.077
78,2020-04-18,United Kingdom,114217.0,5525.0,5032.0,1.051,1.054,110079,6309.0,5032.0,1.061,1.073
79,2020-04-19,United Kingdom,120067.0,5850.0,5113.0,1.051,1.052,116390,6311.0,5113.0,1.057,1.069
